Time (s),p_chol_LE Tokens
0.0,2650000000.0
0.002,2648379617.6701207
0.004,2648614105.738802
0.006,2648308172.3323236
0.008,2650201441.2034144
0.01,2650387985.47016
0.012,2650401832.059224
0.014,2650403867.4489956
0.016,2650402371.720523
0.018000000000000002,2650402967.305081
0.02,2650402741.490675
0.022,2649860970.8525558
0.024,2648376382.6745257
0.026000000000000002,2648292159.813135
0.028,2648611763.6207643
0.03,2648635716.312979
0.032,2648638886.914693
0.034,2650244113.008374
0.036000000000000004,2650396733.459058
0.038,2650407011.970828
0.04,2650408413.052709
0.042,2649869679.7384725
0.044,2650366598.2383785
0.046,2648722109.9573064
0.048,2648323725.6168256
0.05,2650209115.9183774
0.052000000000000005,2650397673.301015
0.054,2648407240.8579054
0.056,2649726034.2604017
0.058,2648386553.029929
0.06,2650223107.6105714
0.062,2648406653.9307475
0.064,2648308941.0944295
0.066,2648305660.2196236
0.068,2648629487.138365
0.07,2650253905.3636107
0.07200000000000001,2649874541.6712193
0.074,2650375591.9819393
0.076,2648412693.108097
0.078,2648311830.35007
0.08,2648306566.746648
0.082,2650218256.345874
0.084,2650408521.8881173
0.08600000000000001,2650422335.7782407
0.088,2649881789.2681856
0.09,2648715754.968303
0.092,2650265307.4039364
0.094,2648413290.489293
0.096,2648639275.9004908
0.098,2649755647.514736
0.1,2650369143.6440063
0.10200000000000001,2648416743.637724
0.10400000000000001,2648316364.137705
0.106,2648309674.5237875
0.108,2648632411.6938868
0.11,2648332682.16835
0.112,2649728811.6658
0.114,2649848170.954082
0.116,2649858393.104291
0.11800000000000001,2648721352.0876713
0.12,2648340727.495766
0.122,2648315041.6211524
0.124,2650224527.1921873
0.126,2649881707.8866754
0.128,2648724542.670215
0.13,2648664908.0121465
0.132,2649766050.9749107
0.134,2648403832.2374177
0.136,2650237155.47244
0.138,2648421412.7012715
0.14,2648645098.6946855
0.14200000000000002,2648661846.96017
0.14400000000000002,2648662472.6372313
0.146,2648342598.4228916
0.148,2650233753.6592064
0.15,2650419728.1264887
0.152,2648430691.7257504
0.154,2648328088.7422085
0.156,2648645544.367889
0.158,2649770716.487063
0.16,2648728080.17035
0.162,2650279309.288846
0.164,2648747004.169644
0.166,2649779475.0262766
0.168,2648728532.910451
0.17,2649777594.384712
0.17200000000000001,2650387446.08273
0.17400000000000002,2648752965.0677576
0.176,2648674733.1573296
0.178,2648347545.279641
0.18,2648649093.4252925
0.182,2649773508.0732126
0.184,2648411661.0971465
0.186,2649751331.5554347
0.188,2648414826.245791
0.19,2648334931.482255
0.192,2648331134.433976
0.194,2649747812.84057
0.196,2650394385.154253
0.198,2649909678.0848904
0.2,2649884613.111619
0.202,2650408875.7249537
0.20400000000000001,2650448927.2770104
0.20600000000000002,2648448382.529386
0.20800000000000002,2649765283.147066
0.21,2650398771.415071
0.212,2648448173.523123
0.214,2649766562.866098
0.216,2650403079.9016595
0.218,2648772544.511342
0.22,2649801472.538017
0.222,2648750308.1476407
0.224,2648696835.6744695
0.226,2649798911.949971
0.228,2648435333.9617195
0.23,2648676401.2946916
0.232,2649795814.49315
0.234,2648752511.668269
0.23600000000000002,2648696403.9960837
0.23800000000000002,2649798792.178869
0.24,2650411590.85671
0.242,2648776687.592262
0.244,2650307960.6705284
0.246,2650451985.827131
0.248,2649924574.111412
0.25,2648442366.4135866
0.252,2648358971.3777566
0.254,2650267619.063665
0.256,2650457874.7546034
0.258,2648468680.9145947
0.26,2649787202.8187113
0.262,2650422882.4271536
0.264,2648471131.9792705
0.266,2648690760.0563345
0.268,2648385679.8259554
0.27,2648364584.305947
0.272,2649777063.4046617
0.274,2648765098.082896
0.276,2650320150.18067
0.278,2649930536.4767756
0.28,2649910561.0578346
0.28200000000000003,2648453668.092752
0.28400000000000003,2650287895.0496097
0.28600000000000003,2648789081.199189
0.28800000000000003,2648393209.9015245
0.29,2650279479.6913733
0.292,2648790105.1183414
0.294,2649825451.4432044
0.296,2649909025.8006024
0.298,2649915075.745219
0.3,2649916112.605479
0.302,2650441183.6452684
0.304,2649943616.8447566
0.306,2649918618.7080703
0.308,2648463779.3775363
0.31,2648381525.1682124
0.312,2650288363.656636
0.314,2649944535.8824124
0.316,2648789140.301995
0.318,2650335498.3633876
0.32,2648483430.696772
0.322,2649802133.2723823
0.324,2649913628.3786206
0.326,2648785827.6129584
0.328,2649834312.7253942
0.33,2650441838.9384084
0.332,2650491069.0872025
0.334,2648807390.7815433
0.336,2648728464.8722625
0.338,2649828979.2525554
0.34,2648782934.6038737
0.342,2648725347.568331
0.34400000000000003,2650324796.3522677
0.34600000000000003,2648479198.7280617
0.34800000000000003,2648705017.0809226
0.35000000000000003,2649821620.102378
0.352,2649913676.949547
0.354,2650446592.552432
0.356,2649950543.3066363
0.358,2648467211.2408886
0.36,2648706919.0107303
0.362,2648720844.1596274
0.364,2650326527.8393817
0.366,2648801216.7361526
0.368,2649832666.5279384
0.37,2649916351.0631537
0.372,2649920280.8970532
0.374,2648784030.5930023
0.376,2648402393.7014265
0.378,2650291304.3114433
0.38,2648483981.488849
0.382,2650304261.9682407
0.384,2649949999.965773
0.386,2650457585.8329396
0.388,2648494816.4801354
0.39,2650310945.4350123
0.392,2649955679.477125
0.394,2650460153.370953
0.396,2650501839.8562326
0.398,2649966022.9560328
0.4,2649938408.594785
0.402,2650464158.184902
0.404,2648822812.554451
0.406,2648744578.903966
0.40800000000000003,2649843572.805668
0.41000000000000003,2650455813.1814747
0.41200000000000003,2648502910.3864164
0.41400000000000003,2648725363.4959254
0.41600000000000004,2650344869.2137465
0.418,2649963217.2248955
0.42,2649942509.39239
0.422,2648805607.682806
0.424,2648423745.3005376
0.426,2649815279.6108522
0.428,2650458551.153298
0.43,2650509880.5036683
0.432,2648507203.823929
0.434,2650316832.285475
0.436,2650495848.309895
0.438,2650509485.692005
0.44,2648505845.7548995
0.442,2648723365.0193553
0.444,2650340578.7779894
0.446,2650496448.735124
0.448,2650505820.428059
0.45,2648821027.4799557
0.452,2648420650.3811665
0.454,2649808189.544899
0.456,2649929974.8756146
0.458,2648482523.877907
0.46,2648400357.2584987
0.462,2650303493.94581
0.464,2650492516.606831
0.466,2648502052.3727665
0.468,2648723287.141219
0.47000000000000003,2648739421.1653256
0.47200000000000003,2648421740.332476
0.47400000000000003,2648721655.53299
0.47600000000000003,2650348574.966481
0.47800000000000004,2650505138.516972
0.48,2648832082.7089562
0.482,2649861631.198955
0.484,2648810960.735984
0.486,2649863365.747608
0.488,2650467682.0396934
0.49,2650517243.3556113
0.492,2650521252.0518646
0.494,2648835501.7417254
0.496,2648753819.5808144
